Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,376.87,376.95,377.46,375.27,3.36M,-0.04%
12/28/2023,377.03,376.52,377.69,376.52,2.62M,0.12%
12/27/2023,376.56,375.1,376.79,374.75,3.06M,0.32%
12/26/2023,375.35,373.68,376.09,373.58,2.22M,0.41%
12/22/2023,373.8,373.64,375.31,372.58,3.33M,-0.02%
12/21/2023,373.88,372.89,374.13,371.16,3.84M,0.83%
12/20/2023,370.8,374.67,376.34,370.61,4.56M,-1.25%
12/19/2023,375.5,373.24,375.56,373.12,3.75M,0.68%
12/18/2023,372.98,373.29,373.87,372.76,3.40M,0.09%
12/15/2023,372.63,371.74,373.39,371.33,6.95M,-0.19%
12/14/2023,373.33,372.71,373.67,371.26,5.51M,0.43%
12/13/2023,371.74,366.6,371.74,366.0,4.30M,1.45%
12/12/2023,366.41,365.41,366.68,364.43,3.24M,0.47%
12/11/2023,364.69,363.6,364.87,363.0,3.67M,0.43%
12/08/2023,363.12,361.76,363.68,361.38,2.93M,0.36%
12/07/2023,361.83,361.96,362.36,360.93,3.30M,0.17%
12/06/2023,361.22,362.81,363.55,360.83,5.58M,-0.19%
12/05/2023,361.91,361.86,362.26,360.7,5.37M,-0.20%
12/04/2023,362.64,361.15,362.95,361.02,4.21M,-0.11%
12/01/2023,363.05,360.02,363.25,359.86,5.85M,0.85%
11/30/2023,360.0,356.71,360.18,356.45,4.09M,1.51%
11/29/2023,354.65,354.97,356.13,354.37,2.74M,0.15%
11/28/2023,354.11,353.49,355.14,353.09,2.76M,0.22%
11/27/2023,353.32,353.63,354.14,352.78,2.53M,-0.14%
11/24/2023,353.8,353.16,353.95,353.04,1.25M,0.35%
11/22/2023,352.56,351.89,353.14,351.5,3.49M,0.50%
11/21/2023,350.82,351.11,351.21,350.36,1.85M,-0.20%
11/20/2023,351.52,349.1,352.24,349.07,2.91M,0.60%
11/17/2023,349.43,349.78,350.22,348.73,2.06M,-0.17%
11/16/2023,350.02,349.58,350.8,348.75,3.85M,-0.07%
11/15/2023,350.27,349.29,350.78,348.98,3.15M,0.53%
11/14/2023,348.42,347.52,349.52,346.67,4.82M,1.41%
11/13/2023,343.57,342.38,344.3,342.23,2.62M,0.16%
11/10/2023,343.01,340.81,343.3,339.27,3.27M,1.15%
11/09/2023,339.11,342.01,342.05,338.77,3.94M,-0.59%
11/08/2023,341.12,342.1,342.59,339.94,2.79M,-0.12%
11/07/2023,341.54,340.73,342.07,340.3,2.79M,0.15%
11/06/2023,341.04,340.86,341.64,339.89,2.77M,0.13%
11/03/2023,340.61,340.12,341.61,339.39,4.05M,0.66%
11/02/2023,338.39,334.78,338.52,334.41,5.36M,1.72%
11/01/2023,332.68,330.92,333.36,330.1,4.55M,0.67%
10/31/2023,330.48,329.18,330.68,327.84,3.65M,0.38%
10/30/2023,329.23,326.39,330.02,326.37,4.62M,1.55%
10/27/2023,324.19,327.84,327.88,323.21,4.76M,-1.11%
10/26/2023,327.82,330.16,331.02,327.36,4.88M,-0.77%
10/25/2023,330.35,332.22,332.69,329.83,3.84M,-0.33%
10/24/2023,331.44,331.0,332.7,329.85,3.58M,0.64%
10/23/2023,329.32,329.9,332.33,328.88,3.90M,-0.56%
10/20/2023,331.19,333.38,334.23,331.13,3.96M,-0.88%
10/19/2023,334.12,336.69,338.62,333.76,5.20M,-0.75%
10/18/2023,336.63,339.74,339.97,336.0,4.14M,-0.99%
10/17/2023,339.99,338.33,341.52,338.27,3.78M,0.03%
10/16/2023,339.89,338.77,340.91,338.41,3.97M,0.95%
10/13/2023,336.68,337.48,339.61,335.52,5.16M,0.12%
10/12/2023,336.27,338.77,338.77,334.57,3.31M,-0.52%
10/11/2023,338.03,338.19,338.84,336.16,2.77M,0.17%
10/10/2023,337.45,337.2,339.01,336.03,3.77M,0.40%
10/09/2023,336.09,332.95,336.38,332.59,3.76M,0.60%
10/06/2023,334.1,330.35,335.64,328.48,4.49M,0.88%
10/05/2023,331.17,330.82,331.75,329.39,3.17M,0.05%
10/04/2023,330.99,330.13,331.46,328.61,4.88M,0.31%
10/03/2023,329.98,332.84,333.88,329.04,4.87M,-1.23%
10/02/2023,334.09,334.29,335.02,332.08,4.19M,-0.26%
09/29/2023,334.95,338.78,338.83,333.91,3.79M,-0.50%
09/28/2023,336.62,335.32,337.67,334.57,4.05M,0.35%
09/27/2023,335.43,336.88,337.15,332.93,4.44M,-0.18%
09/26/2023,336.04,337.87,338.74,335.55,4.66M,-1.16%
09/25/2023,339.98,338.73,340.07,337.69,3.10M,0.12%
09/22/2023,339.58,340.69,341.43,339.32,3.38M,-0.29%
09/21/2023,340.58,343.17,343.65,340.47,3.49M,-1.09%
09/20/2023,344.32,346.04,347.65,344.2,3.41M,-0.22%
09/19/2023,345.07,345.47,345.81,342.98,2.74M,-0.31%
09/18/2023,346.15,346.28,347.13,345.31,2.12M,0.00%
09/15/2023,346.14,348.26,348.85,345.6,3.58M,-1.09%
09/14/2023,349.94,348.66,350.63,347.73,3.49M,0.98%
09/13/2023,346.55,347.56,348.51,345.82,2.03M,-0.19%
09/12/2023,347.21,346.64,349.3,346.36,1.81M,-0.05%
09/11/2023,347.37,348.02,348.59,346.51,1.72M,0.25%
09/08/2023,346.51,345.77,347.04,345.48,1.67M,0.24%
09/07/2023,345.69,344.46,346.24,344.35,2.38M,0.20%
09/06/2023,345.0,346.45,346.51,343.46,2.75M,-0.57%
09/05/2023,346.98,349.08,349.27,346.9,1.91M,-0.57%
09/01/2023,348.98,349.93,350.36,347.75,2.53M,0.34%
08/31/2023,347.81,350.92,351.28,347.74,2.90M,-0.46%
08/30/2023,349.4,349.1,350.73,348.52,2.79M,0.22%
08/29/2023,348.62,345.56,348.75,345.4,3.11M,0.84%
08/28/2023,345.71,345.21,346.67,344.5,2.38M,0.64%
08/25/2023,343.5,342.46,344.55,340.35,3.87M,0.72%
08/24/2023,341.03,344.32,346.97,340.97,3.84M,-1.10%
08/23/2023,344.83,343.53,345.4,343.25,2.61M,0.55%
08/22/2023,342.96,344.79,345.14,342.57,2.82M,-0.50%
08/21/2023,344.67,345.3,345.72,342.49,3.18M,-0.13%
08/18/2023,345.12,342.95,345.91,342.68,3.53M,0.02%
08/17/2023,345.06,348.95,349.32,344.82,4.80M,-0.78%
08/16/2023,347.77,349.3,351.52,347.71,3.59M,-0.53%
08/15/2023,349.61,351.67,352.02,349.18,2.82M,-1.02%
08/14/2023,353.21,352.73,353.5,351.77,3.13M,0.06%
08/11/2023,353.0,351.19,353.72,350.61,2.60M,0.32%
08/10/2023,351.89,353.15,355.92,351.19,4.13M,0.17%
08/09/2023,351.28,352.87,353.68,350.54,2.87M,-0.49%
08/08/2023,353.02,352.42,353.35,349.92,3.03M,-0.45%
08/07/2023,354.62,352.04,354.87,351.88,2.39M,1.13%
08/04/2023,350.65,353.12,354.96,350.2,4.27M,-0.38%
08/03/2023,351.99,351.6,353.39,351.11,3.31M,-0.21%
08/02/2023,352.74,354.48,355.2,352.11,5.06M,-0.97%
08/01/2023,356.2,355.27,356.7,355.14,2.59M,0.18%
07/31/2023,355.57,354.57,355.6,354.19,2.20M,0.31%
07/28/2023,354.48,354.51,355.55,353.43,3.22M,0.48%
07/27/2023,352.77,355.86,356.36,352.04,4.77M,-0.70%
07/26/2023,355.25,353.14,356.28,353.12,3.08M,0.26%
07/25/2023,354.32,353.8,355.17,353.55,2.55M,0.07%
07/24/2023,354.07,352.71,354.57,352.53,3.07M,0.55%
07/21/2023,352.14,352.81,353.32,351.71,2.97M,-0.08%
07/20/2023,352.43,351.45,353.89,351.35,4.56M,0.50%
07/19/2023,350.69,350.4,352.45,350.4,5.86M,0.32%
07/18/2023,349.58,345.65,349.91,345.25,4.63M,1.08%
07/17/2023,345.85,344.56,346.7,344.22,2.86M,0.20%
07/14/2023,345.17,345.71,345.92,344.51,3.29M,0.36%
07/13/2023,343.92,344.34,344.88,343.7,2.47M,0.08%
07/12/2023,343.63,344.91,345.9,343.15,4.14M,0.29%
07/11/2023,342.64,340.74,342.92,339.95,2.48M,0.90%
07/10/2023,339.58,337.4,339.65,337.17,2.56M,0.64%
07/07/2023,337.43,337.97,340.4,337.19,2.85M,-0.53%
07/06/2023,339.23,340.24,340.87,337.7,3.74M,-1.04%
07/05/2023,342.81,342.38,343.74,342.25,2.72M,-0.37%
07/03/2023,344.07,343.0,344.53,342.78,1.70M,0.06%
06/30/2023,343.85,343.22,344.58,342.76,3.03M,0.79%
06/29/2023,341.16,338.41,341.39,338.11,2.90M,0.75%
06/28/2023,338.63,338.73,338.94,337.43,2.31M,-0.18%
06/27/2023,339.23,337.1,339.65,337.1,1.78M,0.62%
06/26/2023,337.14,336.8,338.08,335.95,2.30M,-0.01%
06/23/2023,337.16,337.12,338.19,336.22,3.72M,-0.64%
06/22/2023,339.34,338.94,339.93,338.24,2.61M,-0.03%
06/21/2023,339.43,339.62,340.91,338.68,3.05M,-0.30%
06/20/2023,340.46,341.3,341.61,339.0,3.39M,-0.73%
06/16/2023,342.95,345.35,345.73,342.72,5.58M,-0.53%
06/15/2023,344.77,340.35,345.58,340.18,4.72M,1.28%
06/14/2023,340.42,341.39,342.04,338.34,3.77M,-0.64%
06/13/2023,342.62,341.74,343.63,341.6,3.26M,0.43%
06/12/2023,341.17,339.74,341.3,339.23,2.04M,0.56%
06/09/2023,339.27,338.57,340.26,338.32,3.16M,0.14%
06/08/2023,338.81,337.23,339.26,336.75,2.70M,0.49%
06/07/2023,337.17,336.54,337.52,335.93,2.74M,0.30%
06/06/2023,336.17,336.03,336.74,334.47,2.82M,0.01%
06/05/2023,336.13,338.21,338.48,335.96,3.96M,-0.57%
06/02/2023,338.07,333.24,338.5,333.11,5.58M,2.15%
06/01/2023,330.94,328.91,331.98,327.32,3.08M,0.43%
05/31/2023,329.52,329.45,330.17,327.7,3.07M,-0.30%
05/30/2023,330.52,330.65,331.32,328.92,3.47M,-0.10%
05/26/2023,330.84,328.13,331.62,327.92,3.58M,0.94%
05/25/2023,327.75,328.07,328.73,325.82,3.50M,-0.08%
05/24/2023,328.01,330.0,330.24,327.48,2.98M,-0.79%
05/23/2023,330.61,331.76,333.1,330.08,2.53M,-0.69%
05/22/2023,332.9,334.12,335.14,332.02,2.56M,-0.39%
05/19/2023,334.19,335.96,336.45,333.22,3.71M,-0.56%
05/18/2023,336.06,333.9,336.44,332.75,3.55M,0.43%
05/17/2023,334.61,332.14,335.17,330.89,3.07M,1.29%
05/16/2023,330.35,332.71,333.07,330.28,2.27M,-1.02%
05/15/2023,333.77,333.51,334.26,331.86,2.17M,0.17%
05/12/2023,333.2,334.42,334.45,331.31,2.64M,-0.04%
05/11/2023,333.33,333.74,333.87,331.47,2.74M,-0.64%
05/10/2023,335.49,337.4,337.85,332.49,3.37M,-0.08%
05/09/2023,335.77,335.41,336.68,335.15,1.92M,-0.13%
05/08/2023,336.22,337.17,337.39,335.09,1.79M,-0.15%
05/05/2023,336.73,334.26,337.5,333.94,3.54M,1.63%
05/04/2023,331.33,333.28,333.59,329.37,3.58M,-0.83%
05/03/2023,334.11,337.13,338.18,333.93,3.92M,-0.82%
05/02/2023,336.87,339.94,340.0,334.31,3.28M,-1.03%
05/01/2023,340.36,341.1,342.59,340.26,2.30M,-0.20%
04/28/2023,341.03,337.19,341.04,337.13,3.65M,0.84%
04/27/2023,338.2,334.18,338.58,333.83,3.07M,1.58%
04/26/2023,332.95,335.6,336.46,332.31,3.59M,-0.71%
04/25/2023,335.33,338.17,338.68,335.2,2.75M,-1.01%
04/24/2023,338.75,337.91,338.91,337.21,2.29M,0.19%
04/21/2023,338.11,338.26,338.58,336.81,2.47M,0.05%
04/20/2023,337.95,337.43,338.85,336.85,2.18M,-0.31%
04/19/2023,338.99,339.11,339.63,338.19,2.85M,-0.24%
04/18/2023,339.8,339.94,340.22,337.9,2.19M,-0.04%
04/17/2023,339.92,339.12,339.93,337.99,2.23M,0.32%
04/14/2023,338.84,339.94,340.85,337.31,3.11M,-0.45%
04/13/2023,340.37,337.07,340.58,336.07,3.04M,1.12%
04/12/2023,336.61,338.61,339.01,335.96,3.36M,-0.09%
04/11/2023,336.9,336.31,337.87,336.01,2.34M,0.28%
04/10/2023,335.96,334.0,335.96,333.43,2.83M,0.32%
04/06/2023,334.9,334.35,335.31,333.28,2.33M,0.02%
04/05/2023,334.82,334.0,335.45,333.76,2.57M,0.26%
04/04/2023,333.94,335.91,336.26,332.63,2.45M,-0.59%
04/03/2023,335.91,333.59,336.25,333.51,3.45M,0.99%
03/31/2023,332.62,329.59,332.81,329.51,2.84M,1.26%
03/30/2023,328.48,328.88,328.95,326.72,2.49M,0.43%
03/29/2023,327.08,326.58,327.17,325.29,2.53M,1.01%
03/28/2023,323.81,323.99,325.65,322.84,2.54M,-0.15%
03/27/2023,324.31,324.59,325.57,323.3,3.55M,0.62%
03/24/2023,322.32,319.45,322.46,317.91,4.49M,0.46%
03/23/2023,320.84,321.33,325.02,318.5,4.77M,0.21%
03/22/2023,320.18,325.65,327.56,320.06,4.38M,-1.67%
03/21/2023,325.62,325.42,325.84,323.34,3.53M,1.03%
03/20/2023,322.3,319.33,322.75,319.33,4.69M,1.19%
03/17/2023,318.5,320.72,321.09,317.16,5.31M,-1.47%
03/16/2023,323.25,317.66,323.57,316.43,6.58M,1.16%
03/15/2023,319.54,316.9,319.81,314.97,6.52M,-0.82%
03/14/2023,322.19,322.21,323.71,318.71,4.76M,1.06%
03/13/2023,318.82,316.76,323.17,316.66,6.83M,-0.28%
03/10/2023,319.73,322.54,324.87,318.43,7.74M,-1.04%
